index,job_title,rating,company,location,headquarters,size,ownership,sector,salary_start,salary_end,location_state
55,Data Engineer,3.7,"Summa Health System
3.7","Akron, OH","Akron, OH",5001 to 10000 employees,Nonprofit Organization,Health Care,75000,131000, OH
364,Data Scientist,4.3,"Quick Base
4.3","Cambridge, MA","Cambridge, MA",201 to 500 employees,Company - Private,Information Technology,112000,116000, MA
561,Data Scientist,3.4,"Peraton
3.4","Chantilly, VA","Herndon, VA",1001 to 5000 employees,Company - Private,Aerospace & Defense,128000,201000, VA
28,Data Scientist,4.5,"Kingfisher Systems
4.5","McLean, VA","Falls Church, VA",51 to 200 employees,Company - Private,Government,137000,171000, VA
29,Data Scientist,2.8,"Formation
2.8","San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Information Technology,137000,171000, CA
445,Machine Learning Engineer,4.8,"Jane Street
4.8","New York, NY","New York, NY",501 to 1000 employees,Company - Private,Finance,79000,133000, NY
290,Data Scientist,0,PETADATA,"San Francisco, CA","Fremont, CA",51 to 200 employees,Company - Private,Unknown,141000,225000, CA
295,Data Scientist,4.1,"Capio Group
4.1","Sacramento, CA","Goteborg, Sweden",10000+ employees,Hospital,Health Care,141000,225000, CA
296,Data Scientist,3.4,"SleePare
3.4","New York, NY","New York, NY",1 to 50 employees,Company - Private,Retail,141000,225000, NY
298,Data Scientist,3.5,"Dolphin
3.5","New York, NY","Lake Buena Vista, FL",1001 to 5000 employees,Company - Private,Travel & Tourism,141000,225000, NY
299,Data Scientist,3.6,"TE Connectivity
3.6","Hampton, VA","Schaffhausen, Switzerland",10000+ employees,Company - Public,Manufacturing,141000,225000, VA
300,Data Scientist,3.2,"State of Virginia
3.2","Richmond, VA","Richmond, VA",10000+ employees,Government,Government,141000,225000, VA
301,Data Scientist,3.7,"TA Digital
3.7","New York, NY","Newark, CA",501 to 1000 employees,Company - Private,Information Technology,141000,225000, NY
30,Data Scientist,3.8,"Analysis Group
3.8","Boston, MA","Boston, MA",1001 to 5000 employees,Private Practice / Firm,Business Services,75000,131000, MA
31,Data Scientist,3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,75000,131000, MA
458,Machine Learning Engineer,2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,College / University,Education,69000,116000, PA
302,Data Scientist,4.0,"Market America Inc
4.0","Monterey, CA","Greensboro, NC",501 to 1000 employees,Company - Private,Retail,141000,225000, CA
303,Data Scientist,3.2,"Triplebyte
3.2","Chicago, IL","San Francisco, CA",51 to 200 employees,Company - Private,Information Technology,145000,225000, IL
304,Data Scientist,4.5,"Kingfisher Systems
4.5","McLean, VA","Falls Church, VA",51 to 200 employees,Company - Private,Government,145000,225000, VA
306,Data Scientist,3.9,"ALTA IT Services
3.9","Woodlawn, MD","Rockville, MD",201 to 500 employees,Company - Private,Information Technology,145000,225000, MD
365,Data Scientist,3.7,"Takeda
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,112000,116000, MA
346,Data Scientist,3.0,"Ameritas Life Insurance Corp
3.0","Cincinnati, OH","Lincoln, NE",1001 to 5000 employees,Company - Private,Insurance,122000,146000, OH
391,Data Scientist,4.1,"Mentor Graphics
4.1","Fremont, CA","Wilsonville, OR",5001 to 10000 employees,Company - Public,Information Technology,110000,163000, CA
392,Data Scientist,3.6,"WCG (WIRB-Copernicus Group)
3.6","Hamilton, NJ","Princeton, NJ",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,110000,163000, NJ
